area_id,area_name,display_name,area,year,bedroom_category,txn_count
7,Al Barsha First,,Al Barsha First,2017,1BR,111
7,Al Barsha First,,Al Barsha First,2017,2BR,44
7,Al Barsha First,,Al Barsha First,2017,Studio,12
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2010,1BR,155
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2010,2BR,33
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2010,Studio,16
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2012,1BR,10
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2013,1BR,23
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2013,2BR,7
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2013,Studio,11
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2014,1BR,163
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2014,2BR,89
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2014,Studio,42
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2015,1BR,69
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2015,2BR,89
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2015,3BR,6
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2015,Studio,42
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2016,1BR,147
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2016,2BR,71
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2016,3BR,15
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2016,Studio,104
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2017,1BR,234
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2017,2BR,47
9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,2017,3BR,6
