date,year,area_id,area_name,display_name,area,lat,lon,property_type,txn_count,median_pps,median_price,median_area_sqft
1998-03-01,1998,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,12,409.03,610470.00,1492.49
1998-03-01,1998,195,Um Suqaim,,Um Suqaim,,,Land,18,794.14,710000.00,905.80
1998-04-01,1998,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,10,374.05,301450.50,800.68
1998-04-01,1998,195,Um Suqaim,,Um Suqaim,,,Land,10,690.68,962500.00,1393.55
1998-05-01,1998,6,Al Barsha,,Al Barsha,25.10,55.20,Land,10,387.50,540000.00,1393.55
1998-05-01,1998,59,Al Qusais,,Al Qusais,25.27,55.39,Land,10,2298.10,5400971.00,2292.19
1998-05-01,1998,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,51,322.92,225000.00,696.77
1998-05-01,1998,195,Um Suqaim,,Um Suqaim,,,Land,34,861.11,1468560.00,1705.42
1998-06-01,1998,6,Al Barsha,,Al Barsha,25.10,55.20,Land,10,432.35,602500.00,1393.55
1998-06-01,1998,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,29,387.50,540000.00,1393.55
1998-06-01,1998,195,Um Suqaim,,Um Suqaim,,,Land,18,1184.03,2865940.00,2420.49
1998-07-01,1998,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,21,421.20,585080.00,1389.09
1998-07-01,1998,195,Um Suqaim,,Um Suqaim,,,Land,15,861.12,434960.00,505.11
1998-08-01,1998,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,13,376.74,262500.00,696.77
1998-08-01,1998,195,Um Suqaim,,Um Suqaim,,,Land,12,920.99,735925.00,782.71
1998-09-01,1998,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,35,409.03,285000.00,696.77
1998-10-01,1998,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,27,376.74,262500.00,696.77
1998-11-01,1998,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,27,398.26,555000.00,1393.55
1998-12-01,1998,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,24,468.23,599309.00,1278.62
1998-12-01,1998,195,Um Suqaim,,Um Suqaim,,,Land,12,888.97,1037500.00,1160.27
1999-01-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,12,462.85,645000.00,1393.55
1999-02-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,16,441.32,642224.00,1455.23
1999-03-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,16,441.32,465000.00,1045.16
1999-04-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,12,527.43,482380.50,914.59
1999-05-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,18,446.70,362742.00,810.67
1999-06-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,23,430.56,300000.00,696.77
1999-07-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,10,430.56,459040.00,1066.15
1999-08-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,16,452.08,628992.00,1391.32
1999-09-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,13,473.61,330000.00,696.77
1999-10-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,29,452.08,378000.00,836.13
1999-11-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,19,505.90,732119.00,1447.15
1999-11-01,1999,195,Um Suqaim,,Um Suqaim,,,Land,11,2284.80,2250000.00,984.77
1999-12-01,1999,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,10,462.85,542500.00,1161.29
1999-12-01,1999,195,Um Suqaim,,Um Suqaim,,,Land,10,678.13,938400.00,1384.26
2000-02-01,2000,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,20,430.56,253125.00,587.90
2000-02-01,2000,195,Um Suqaim,,Um Suqaim,,,Land,12,1051.99,2270000.00,2205.26
2000-03-01,2000,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,13,446.70,415000.00,929.03
2000-04-01,2000,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Villa,26,441.32,307500.00,696.77
